name,tax_id,accession_id,total_sequence_length,total_ungapped_length,number_of_contigs,contig_n50,contig_l50,number_of_scaffolds,scaffold_n50,scaffold_l50,number_of_component_sequences,atgc_count,gc_count,gc_percent,genome_coverage,checkm_marker_set,checkm_species_tax_id,checkm_marker_set_rank,checkm_version,completeness,contamination,completeness_percentile,total_number_of_chromosomes,rank
Mycobacterium tuberculosis variant bovis,1765,GCF_037623675.1,4998182,4998182,44,1535370,2,44,1535370,2,44,4998182,3281023,65.5,50,Mycobacterium tuberculosis,1773,species,v1.2.3,97.2,11.21,27.3035,NA,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_020536635.1,4332203,4332203,94,165190,11,94,165190,11,94,4332203,2842704,65.5,31,Mycobacterium tuberculosis,1773,species,v1.2.4,96,0.37,8.08713,NA,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_020536625.1,4332964,4332964,95,137022,12,95,137022,12,95,4332964,2843234,65.5,30,Mycobacterium tuberculosis,1773,species,v1.2.4,96,0.37,8.08713,NA,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_020536675.1,4332964,4332964,95,137022,12,95,137022,12,95,4332964,2843234,65.5,28,Mycobacterium tuberculosis,1773,species,v1.2.4,96,0.37,8.08713,NA,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_007990045.1,4347513,4347513,8,3176044,1,8,3176044,1,8,4347513,2853173,65.5,135.38,Mycobacterium tuberculosis,1773,species,v1.2.3,95.83,0.37,7.44867,NA,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_007990005.1,4346927,4346927,13,3175176,1,13,3175176,1,13,4346927,2852433,65.5,126.49,Mycobacterium tuberculosis,1773,species,v1.2.3,95.83,0.37,7.44867,NA,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_007990105.1,4348120,4348120,8,2859506,1,8,2859506,1,8,4348120,2853718,65.5,140,Mycobacterium tuberculosis,1773,species,v1.2.4,95.83,0.37,7.44867,NA,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_007990015.1,4347510,4347510,15,2858883,1,15,2858883,1,15,4347510,2852364,65.5,374.5,Mycobacterium tuberculosis,1773,species,v1.2.4,95.83,0.37,7.44867,NA,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_007990055.1,4346664,4346664,8,2858537,1,8,2858537,1,8,4346664,2852719,65.5,115.36,Mycobacterium tuberculosis,1773,species,v1.2.3,95.83,0.37,7.44867,NA,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_007989925.1,4358624,4358624,38,2857927,1,38,2857927,1,38,4358624,2859627,65.5,127.89,Mycobacterium tuberculosis,1773,species,v1.2.3,95.83,0.78,7.44867,NA,BIOTYPE
