name,tax_id,accession_id,total_number_of_chromosomes,total_sequence_length,total_ungapped_length,number_of_contigs,contig_n50,contig_l50,number_of_scaffolds,scaffold_n50,scaffold_l50,number_of_component_sequences,atgc_count,gc_count,gc_percent,genome_coverage,checkm_marker_set,checkm_species_tax_id,checkm_marker_set_rank,checkm_version,completeness,contamination,completeness_percentile,rank
Mycobacterium tuberculosis variant bovis,1765,GCF_028583125.1,1,4344516,4344516,1,4344516,1,1,4344516,1,1,4344516,2850815,65.5,88,Mycobacterium tuberculosis,1773,species,v1.2.3,96.09,0.37,8.50025,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_028583145.1,1,4351057,4351057,1,4351057,1,1,4351057,1,1,4351057,2856080,65.5,114,Mycobacterium tuberculosis,1773,species,v1.2.3,96,0.37,8.08713,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_000934325.3,1,4347648,4347648,1,4347648,1,1,4347648,1,1,4347648,2853235,65.5,653,Mycobacterium tuberculosis,1773,species,v1.2.3,96,0.37,8.08713,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_028768425.1,1,4342292,4342292,1,4342292,1,1,4342292,1,1,4342292,2850631,65.5,138,Mycobacterium tuberculosis,1773,species,v1.2.3,96,0.37,8.08713,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_028583285.1,1,4342977,4342977,1,4342977,1,1,4342977,1,1,4342977,2850583,65.5,159,Mycobacterium tuberculosis,1773,species,v1.2.3,95.98,0.37,7.9995,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_028583165.1,1,4344564,4344564,1,4344564,1,1,4344564,1,1,4344564,2851876,65.5,152,Mycobacterium tuberculosis,1773,species,v1.2.3,95.9,0.37,7.83676,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_002975475.1,1,4355637,4355637,1,4355637,1,1,4355637,1,1,4355637,2858107,65.5,180,Mycobacterium tuberculosis,1773,species,v1.2.3,95.83,0.45,7.44867,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_028583265.1,1,4338946,4338946,1,4338946,1,1,4338946,1,1,4338946,2848669,65.5,176,Mycobacterium tuberculosis,1773,species,v1.2.3,95.79,0.37,7.23585,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_042982005.1,1,4350333,4350333,1,4350333,1,1,4350333,1,1,4350333,2855353,65.5,1,Mycobacterium tuberculosis,1773,species,v1.2.3,95.74,0.37,7.01052,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_902459825.2,1,4365068,4365068,1,4365068,1,1,4365068,1,1,4365068,2865383,65.5,200,Mycobacterium tuberculosis,1773,species,v1.2.3,95.7,0.37,6.84777,BIOTYPE
Mycolicibacterium smegmatis,1772,GCF_024599995.1,1,7006087,7006087,1,7006087,1,1,7006087,1,1,7006087,4722108,67.5,58,Mycobacterium smegmatis,1772,species,v1.2.4,98.76,1.13,84.058,SPECIES
Mycolicibacterium smegmatis,1772,GCF_024600015.1,1,7006086,7006086,1,7006086,1,1,7006086,1,1,7006086,4722103,67.5,71,Mycobacterium smegmatis,1772,species,v1.2.4,98.76,1.13,84.058,SPECIES
Mycolicibacterium smegmatis,1772,GCF_024600315.1,1,7006086,7006086,1,7006086,1,1,7006086,1,1,7006086,4722105,67.5,45,Mycobacterium smegmatis,1772,species,v1.2.4,98.76,1.13,84.058,SPECIES
Mycolicibacterium smegmatis,1772,GCF_024600035.1,1,7005472,7005472,1,7005472,1,1,7005472,1,1,7005472,4721678,67.5,72,Mycobacterium smegmatis,1772,species,v1.2.4,98.76,1.13,84.058,SPECIES
Mycolicibacterium smegmatis,1772,GCF_024600175.1,1,7003821,7003821,1,7003821,1,1,7003821,1,1,7003821,4720587,67.5,49,Mycobacterium smegmatis,1772,species,v1.2.4,98.76,1.13,84.058,SPECIES
Mycolicibacterium smegmatis,1772,GCF_024600455.1,1,7003821,7003821,1,7003821,1,1,7003821,1,1,7003821,4720588,67.5,149,Mycobacterium smegmatis,1772,species,v1.2.4,98.76,1.13,84.058,SPECIES
Mycolicibacterium smegmatis,1772,GCF_022370415.1,1,6895172,6895172,1,6895172,1,1,6895172,1,1,6895172,4647052,67.5,109,Mycobacterium smegmatis,1772,species,v1.2.3,98.31,0.88,30.4348,SPECIES
Mycolicibacterium smegmatis,1772,GCF_000331165.2,1,7119169,7119169,1,7119169,1,1,7119169,1,1,7119169,4791970,67.5,30.5784,Mycobacterium smegmatis,1772,species,v1.2.3,98.3,4.46,28.9855,SPECIES
Mycolicibacterium smegmatis,1772,GCF_019930745.1,1,6937705,6937705,1,6937705,1,1,6937705,1,1,6937705,4673050,67.5,1197.54,Mycobacterium smegmatis,1772,species,v1.2.3,98.22,2.18,21.7391,SPECIES
Mycolicibacterium smegmatis,1772,GCF_001457595.1,1,6983267,6983267,1,6983267,1,1,6983267,1,1,6983267,4701755,67.5,100,Mycobacterium smegmatis,1772,species,v1.2.4,97.76,2.18,14.4928,SPECIES
Pseudomonas aeruginosa,287,GCF_001045685.1,1,6317050,6317050,1,6317050,1,1,6317050,1,1,6317050,4202332,66.5,843,Pseudomonas aeruginosa,287,species,v1.2.3,99.82,0.49,94.4109,SPECIES
Pseudomonas aeruginosa,287,GCF_009676765.1,1,7344079,7344079,1,7344079,1,1,7344079,1,1,7344079,4829954,66,55.55,Pseudomonas aeruginosa,287,species,v1.2.3,99.82,2.18,94.4109,SPECIES
Pseudomonas aeruginosa,287,GCF_019710495.1,3,7708846,7708846,3,7182635,1,3,7182635,1,3,7708846,5035033,65.5,60.71,Pseudomonas aeruginosa,287,species,v1.2.3,99.82,2.42,94.4109,SPECIES
Pseudomonas aeruginosa,287,GCF_022570475.1,1,7009041,7009041,1,7009041,1,1,7009041,1,1,7009041,4627395,66,100,Pseudomonas aeruginosa,287,species,v1.2.4,99.82,1.69,94.4109,SPECIES
Pseudomonas aeruginosa,287,GCF_036237115.1,1,6967503,6967503,1,6967503,1,1,6967503,1,1,6967503,4598152,66,84,Pseudomonas aeruginosa,287,species,v1.2.3,99.82,0.87,94.4109,SPECIES
Pseudomonas aeruginosa,287,GCF_036233515.1,1,6967501,6967501,1,6967501,1,1,6967501,1,1,6967501,4598158,66,69,Pseudomonas aeruginosa,287,species,v1.2.3,99.82,0.87,94.4109,SPECIES
Pseudomonas aeruginosa,287,GCF_051515095.1,1,6961963,6961963,1,6961963,1,1,6961963,1,1,6961963,4589244,66,1,Pseudomonas aeruginosa,287,species,v1.2.4,99.82,1.36,94.4109,SPECIES
Pseudomonas aeruginosa,287,GCF_036232405.1,1,6951289,6951289,1,6951289,1,1,6951289,1,1,6951289,4588831,66,115,Pseudomonas aeruginosa,287,species,v1.2.3,99.82,0.63,94.4109,SPECIES
Pseudomonas aeruginosa,287,GCF_041514425.1,1,6799704,6799704,1,6799704,1,1,6799704,1,1,6799704,4489306,66,1,Pseudomonas aeruginosa,287,species,v1.2.4,99.82,0.57,94.4109,SPECIES
Pseudomonas aeruginosa,287,GCF_025398095.1,2,7184487,7184487,2,6757988,1,2,6757988,1,2,7184487,4699635,65.5,153,Pseudomonas aeruginosa,287,species,v1.2.3,99.82,1.59,94.4109,SPECIES
Pseudomonas putida,303,GCF_014076515.1,2,6065162,6065162,2,6045913,1,2,6045913,1,2,6065161,3737529,61.5,100,Pseudomonas putida,303,species,v1.2.3,99.9,0.28,99.2629,SPECIES
Pseudomonas putida,303,GCF_003671955.1,1,6011680,6011680,1,6011680,1,1,6011680,1,1,6011680,3718086,62,178.2,Pseudomonas putida,303,species,v1.2.3,99.9,0.16,99.2629,SPECIES
Pseudomonas putida,303,GCF_001886975.1,1,6031212,6031212,1,6031212,1,1,6031212,1,1,6031212,3740144,62,138,Pseudomonas putida,303,species,v1.2.3,99.89,0.68,96.5602,SPECIES
Pseudomonas putida,303,GCF_024508115.1,1,6179370,6179370,1,6179370,1,1,6179370,1,1,6179370,3851301,62.5,270.63,Pseudomonas putida,303,species,v1.2.4,99.77,1.33,89.1892,SPECIES
Pseudomonas putida,303,GCF_014764425.1,2,7114630,7114630,2,6511858,1,2,6511858,1,2,7114630,4357097,61,50,Pseudomonas putida,303,species,v1.2.3,99.77,2.23,89.1892,SPECIES
Pseudomonas putida,303,GCF_034424745.1,1,6559726,6559726,1,6559726,1,1,6559726,1,1,6559726,4047747,61.5,109,Pseudomonas putida,303,species,v1.2.3,99.74,0.37,87.9607,SPECIES
Pseudomonas putida,303,GCF_037100255.1,1,6286687,6286687,1,6286687,1,1,6286687,1,1,6286687,3929952,62.5,1,Pseudomonas putida,303,species,v1.2.3,99.73,1.55,87.715,SPECIES
Pseudomonas putida,303,GCF_039634515.1,2,6767258,6767258,2,6362594,1,2,6362594,1,2,6767258,4125666,61,1,Pseudomonas putida,303,species,v1.2.3,99.65,2.15,70.2703,SPECIES
Pseudomonas putida,303,GCF_027595085.1,1,6362490,6362490,1,6362490,1,1,6362490,1,1,6362490,3896609,61,100,Pseudomonas putida,303,species,v1.2.3,99.65,1.18,70.2703,SPECIES
Pseudomonas putida,303,GCF_013425825.1,3,6499247,6499247,3,6337358,1,3,6337358,1,3,6499247,3996102,61.5,120,Pseudomonas putida,303,species,v1.2.4,99.65,1.03,70.2703,SPECIES
